question=['athens' 'greece' 'bangkok' 'thailand'], predicted=thailand
question=['tokyo' 'japan' 'rome' 'italy'], predicted=italy
question=['tokyo' 'japan' 'stockholm' 'sweden'], predicted=sweden
question=['tokyo' 'japan' 'tehran' 'iran'], predicted=iran
question=['accra' 'ghana' 'algiers' 'algeria'], predicted=algeria
question=['accra' 'ghana' 'ankara' 'turkey'], predicted=turkey
question=['accra' 'ghana' 'athens' 'greece'], predicted=greece
question=['accra' 'ghana' 'bamako' 'mali'], predicted=mali
question=['accra' 'ghana' 'beijing' 'china'], predicted=china
question=['accra' 'ghana' 'belgrade' 'serbia'], predicted=serbia
question=['accra' 'ghana' 'bratislava' 'slovakia'], predicted=slovakia
question=['accra' 'ghana' 'budapest' 'hungary'], predicted=hungary
question=['accra' 'ghana' 'cairo' 'egypt'], predicted=egypt
question=['accra' 'ghana' 'copenhagen' 'denmark'], predicted=denmark
question=['accra' 'ghana' 'damascus' 'syria'], predicted=syria
question=['accra' 'ghana' 'dublin' 'ireland'], predicted=ireland
question=['algiers' 'algeria' 'ankara' 'turkey'], predicted=turkey
question=['algiers' 'algeria' 'asmara' 'eritrea'], predicted=eritrea
question=['algiers' 'algeria' 'athens' 'greece'], predicted=greece
question=['algiers' 'algeria' 'bamako' 'mali'], predicted=mali
question=['algiers' 'algeria' 'bangkok' 'thailand'], predicted=thailand
question=['algiers' 'algeria' 'beijing' 'china'], predicted=china
question=['algiers' 'algeria' 'beirut' 'lebanon'], predicted=lebanon
question=['algiers' 'algeria' 'bishkek' 'kyrgyzstan'], predicted=kyrgyzstan
question=['algiers' 'algeria' 'bratislava' 'slovakia'], predicted=slovakia
question=['algiers' 'algeria' 'brussels' 'belgium'], predicted=belgium
question=['algiers' 'algeria' 'budapest' 'hungary'], predicted=hungary
question=['algiers' 'algeria' 'cairo' 'egypt'], predicted=egypt
question=['algiers' 'algeria' 'damascus' 'syria'], predicted=syria
question=['algiers' 'algeria' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['algiers' 'algeria' 'dublin' 'ireland'], predicted=ireland
question=['amman' 'jordan' 'athens' 'greece'], predicted=greece
question=['amman' 'jordan' 'beijing' 'china'], predicted=china
question=['amman' 'jordan' 'beirut' 'lebanon'], predicted=lebanon
question=['amman' 'jordan' 'berlin' 'germany'], predicted=germany
question=['amman' 'jordan' 'brussels' 'belgium'], predicted=belgium
question=['amman' 'jordan' 'budapest' 'hungary'], predicted=hungary
question=['amman' 'jordan' 'cairo' 'egypt'], predicted=egypt
question=['amman' 'jordan' 'canberra' 'australia'], predicted=australia
question=['amman' 'jordan' 'caracas' 'venezuela'], predicted=venezuela
question=['amman' 'jordan' 'dublin' 'ireland'], predicted=ireland
question=['ankara' 'turkey' 'athens' 'greece'], predicted=greece
question=['ankara' 'turkey' 'bangkok' 'thailand'], predicted=thailand
question=['ankara' 'turkey' 'berlin' 'germany'], predicted=germany
question=['ankara' 'turkey' 'bern' 'switzerland'], predicted=switzerland
question=['ankara' 'turkey' 'bratislava' 'slovakia'], predicted=slovakia
question=['ankara' 'turkey' 'brussels' 'belgium'], predicted=belgium
question=['ankara' 'turkey' 'budapest' 'hungary'], predicted=hungary
question=['ankara' 'turkey' 'cairo' 'egypt'], predicted=egypt
question=['ankara' 'turkey' 'canberra' 'australia'], predicted=australia
question=['ankara' 'turkey' 'caracas' 'venezuela'], predicted=venezuela
question=['ankara' 'turkey' 'copenhagen' 'denmark'], predicted=denmark
question=['ankara' 'turkey' 'damascus' 'syria'], predicted=syria
question=['ankara' 'turkey' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['ankara' 'turkey' 'dublin' 'ireland'], predicted=ireland
question=['ankara' 'turkey' 'hanoi' 'vietnam'], predicted=vietnam
question=['antananarivo' 'madagascar' 'astana' 'kazakhstan'], predicted=kazakhstan
question=['antananarivo' 'madagascar' 'athens' 'greece'], predicted=greece
question=['antananarivo' 'madagascar' 'baghdad' 'iraq'], predicted=iraq
question=['antananarivo' 'madagascar' 'bangkok' 'thailand'], predicted=thailand
question=['antananarivo' 'madagascar' 'beijing' 'china'], predicted=china
question=['antananarivo' 'madagascar' 'berlin' 'germany'], predicted=germany
question=['antananarivo' 'madagascar' 'bern' 'switzerland'], predicted=switzerland
question=['antananarivo' 'madagascar' 'bishkek' 'kyrgyzstan'], predicted=kyrgyzstan
question=['antananarivo' 'madagascar' 'budapest' 'hungary'], predicted=hungary
question=['antananarivo' 'madagascar' 'cairo' 'egypt'], predicted=egypt
question=['antananarivo' 'madagascar' 'canberra' 'australia'], predicted=australia
question=['antananarivo' 'madagascar' 'caracas' 'venezuela'], predicted=venezuela
question=['antananarivo' 'madagascar' 'dublin' 'ireland'], predicted=ireland
question=['asmara' 'eritrea' 'athens' 'greece'], predicted=greece
question=['asmara' 'eritrea' 'baghdad' 'iraq'], predicted=iraq
question=['asmara' 'eritrea' 'bangkok' 'thailand'], predicted=thailand
question=['asmara' 'eritrea' 'belgrade' 'serbia'], predicted=serbia
question=['asmara' 'eritrea' 'berlin' 'germany'], predicted=germany
question=['asmara' 'eritrea' 'bern' 'switzerland'], predicted=switzerland
question=['asmara' 'eritrea' 'brussels' 'belgium'], predicted=belgium
question=['asmara' 'eritrea' 'budapest' 'hungary'], predicted=hungary
question=['asmara' 'eritrea' 'conakry' 'guinea'], predicted=guinea
question=['asmara' 'eritrea' 'damascus' 'syria'], predicted=syria
question=['asmara' 'eritrea' 'havana' 'cuba'], predicted=cuba
question=['asmara' 'eritrea' 'helsinki' 'finland'], predicted=finland
question=['astana' 'kazakhstan' 'athens' 'greece'], predicted=greece
question=['astana' 'kazakhstan' 'beijing' 'china'], predicted=china
question=['astana' 'kazakhstan' 'beirut' 'lebanon'], predicted=lebanon
question=['astana' 'kazakhstan' 'berlin' 'germany'], predicted=germany
question=['astana' 'kazakhstan' 'bishkek' 'kyrgyzstan'], predicted=kyrgyzstan
question=['astana' 'kazakhstan' 'bratislava' 'slovakia'], predicted=slovakia
question=['astana' 'kazakhstan' 'budapest' 'hungary'], predicted=hungary
question=['astana' 'kazakhstan' 'cairo' 'egypt'], predicted=egypt
question=['astana' 'kazakhstan' 'canberra' 'australia'], predicted=australia
question=['astana' 'kazakhstan' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['astana' 'kazakhstan' 'dublin' 'ireland'], predicted=ireland
question=['astana' 'kazakhstan' 'havana' 'cuba'], predicted=cuba
question=['astana' 'kazakhstan' 'helsinki' 'finland'], predicted=finland
question=['astana' 'kazakhstan' 'jakarta' 'indonesia'], predicted=indonesia
question=['athens' 'greece' 'bangkok' 'thailand'], predicted=thailand
question=['athens' 'greece' 'beijing' 'china'], predicted=china
question=['athens' 'greece' 'beirut' 'lebanon'], predicted=lebanon
question=['athens' 'greece' 'berlin' 'germany'], predicted=germany
question=['athens' 'greece' 'bern' 'switzerland'], predicted=switzerland
question=['athens' 'greece' 'bratislava' 'slovakia'], predicted=slovakia
question=['athens' 'greece' 'brussels' 'belgium'], predicted=belgium
question=['athens' 'greece' 'budapest' 'hungary'], predicted=hungary
question=['athens' 'greece' 'cairo' 'egypt'], predicted=egypt
question=['athens' 'greece' 'canberra' 'australia'], predicted=australia
question=['athens' 'greece' 'copenhagen' 'denmark'], predicted=denmark
question=['athens' 'greece' 'damascus' 'syria'], predicted=syria
question=['athens' 'greece' 'dublin' 'ireland'], predicted=ireland
question=['athens' 'greece' 'havana' 'cuba'], predicted=cuba
question=['athens' 'greece' 'helsinki' 'finland'], predicted=finland
question=['athens' 'greece' 'islamabad' 'pakistan'], predicted=pakistan
question=['athens' 'greece' 'jakarta' 'indonesia'], predicted=indonesia
question=['athens' 'greece' 'kabul' 'afghanistan'], predicted=afghanistan
question=['baghdad' 'iraq' 'bangkok' 'thailand'], predicted=thailand
question=['baghdad' 'iraq' 'berlin' 'germany'], predicted=germany
question=['baghdad' 'iraq' 'bern' 'switzerland'], predicted=switzerland
question=['baghdad' 'iraq' 'bratislava' 'slovakia'], predicted=slovakia
question=['baghdad' 'iraq' 'brussels' 'belgium'], predicted=belgium
question=['baghdad' 'iraq' 'budapest' 'hungary'], predicted=hungary
question=['baghdad' 'iraq' 'cairo' 'egypt'], predicted=egypt
question=['baghdad' 'iraq' 'canberra' 'australia'], predicted=australia
question=['baghdad' 'iraq' 'caracas' 'venezuela'], predicted=venezuela
question=['baghdad' 'iraq' 'conakry' 'guinea'], predicted=guinea
question=['baghdad' 'iraq' 'copenhagen' 'denmark'], predicted=denmark
question=['baghdad' 'iraq' 'damascus' 'syria'], predicted=syria
question=['baghdad' 'iraq' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['baghdad' 'iraq' 'dublin' 'ireland'], predicted=ireland
question=['baghdad' 'iraq' 'hanoi' 'vietnam'], predicted=vietnam
question=['baghdad' 'iraq' 'havana' 'cuba'], predicted=cuba
question=['baghdad' 'iraq' 'helsinki' 'finland'], predicted=finland
question=['baghdad' 'iraq' 'jakarta' 'indonesia'], predicted=indonesia
question=['baghdad' 'iraq' 'kabul' 'afghanistan'], predicted=afghanistan
question=['baku' 'azerbaijan' 'beirut' 'lebanon'], predicted=lebanon
question=['baku' 'azerbaijan' 'brussels' 'belgium'], predicted=belgium
question=['baku' 'azerbaijan' 'budapest' 'hungary'], predicted=hungary
question=['baku' 'azerbaijan' 'canberra' 'australia'], predicted=australia
question=['baku' 'azerbaijan' 'damascus' 'syria'], predicted=syria
question=['baku' 'azerbaijan' 'dublin' 'ireland'], predicted=ireland
question=['baku' 'azerbaijan' 'helsinki' 'finland'], predicted=finland
question=['baku' 'azerbaijan' 'jakarta' 'indonesia'], predicted=indonesia
question=['baku' 'azerbaijan' 'kabul' 'afghanistan'], predicted=afghanistan
question=['bamako' 'mali' 'belgrade' 'serbia'], predicted=serbia
question=['bamako' 'mali' 'berlin' 'germany'], predicted=germany
question=['bamako' 'mali' 'bratislava' 'slovakia'], predicted=slovakia
question=['bamako' 'mali' 'budapest' 'hungary'], predicted=hungary
question=['bamako' 'mali' 'cairo' 'egypt'], predicted=egypt
question=['bamako' 'mali' 'dublin' 'ireland'], predicted=ireland
question=['bamako' 'mali' 'helsinki' 'finland'], predicted=finland
question=['bamako' 'mali' 'jakarta' 'indonesia'], predicted=indonesia
question=['bamako' 'mali' 'kabul' 'afghanistan'], predicted=afghanistan
question=['bamako' 'mali' 'khartoum' 'sudan'], predicted=sudan
question=['bangkok' 'thailand' 'beijing' 'china'], predicted=china
question=['bangkok' 'thailand' 'berlin' 'germany'], predicted=germany
question=['bangkok' 'thailand' 'bern' 'switzerland'], predicted=switzerland
question=['bangkok' 'thailand' 'bratislava' 'slovakia'], predicted=slovakia
question=['bangkok' 'thailand' 'brussels' 'belgium'], predicted=belgium
question=['bangkok' 'thailand' 'budapest' 'hungary'], predicted=hungary
question=['bangkok' 'thailand' 'cairo' 'egypt'], predicted=egypt
question=['bangkok' 'thailand' 'canberra' 'australia'], predicted=australia
question=['bangkok' 'thailand' 'caracas' 'venezuela'], predicted=venezuela
question=['bangkok' 'thailand' 'copenhagen' 'denmark'], predicted=denmark
question=['bangkok' 'thailand' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['bangkok' 'thailand' 'dublin' 'ireland'], predicted=ireland
question=['bangkok' 'thailand' 'havana' 'cuba'], predicted=cuba
question=['bangkok' 'thailand' 'helsinki' 'finland'], predicted=finland
question=['bangkok' 'thailand' 'islamabad' 'pakistan'], predicted=pakistan
question=['bangkok' 'thailand' 'jakarta' 'indonesia'], predicted=indonesia
question=['bangkok' 'thailand' 'kabul' 'afghanistan'], predicted=afghanistan
question=['bangkok' 'thailand' 'khartoum' 'sudan'], predicted=sudan
question=['bangkok' 'thailand' 'kiev' 'ukraine'], predicted=ukraine
question=['beijing' 'china' 'berlin' 'germany'], predicted=germany
question=['beijing' 'china' 'bern' 'switzerland'], predicted=switzerland
question=['beijing' 'china' 'bratislava' 'slovakia'], predicted=slovakia
question=['beijing' 'china' 'brussels' 'belgium'], predicted=belgium
question=['beijing' 'china' 'budapest' 'hungary'], predicted=hungary
question=['beijing' 'china' 'cairo' 'egypt'], predicted=egypt
question=['beijing' 'china' 'canberra' 'australia'], predicted=australia
question=['beijing' 'china' 'caracas' 'venezuela'], predicted=venezuela
question=['beijing' 'china' 'conakry' 'guinea'], predicted=guinea
question=['beijing' 'china' 'copenhagen' 'denmark'], predicted=denmark
question=['beijing' 'china' 'dakar' 'senegal'], predicted=senegal
question=['beijing' 'china' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['beijing' 'china' 'dublin' 'ireland'], predicted=ireland
question=['beijing' 'china' 'hanoi' 'vietnam'], predicted=vietnam
question=['beijing' 'china' 'havana' 'cuba'], predicted=cuba
question=['beijing' 'china' 'helsinki' 'finland'], predicted=finland
question=['beijing' 'china' 'islamabad' 'pakistan'], predicted=pakistan
question=['beijing' 'china' 'jakarta' 'indonesia'], predicted=indonesia
question=['beijing' 'china' 'kabul' 'afghanistan'], predicted=afghanistan
question=['beijing' 'china' 'khartoum' 'sudan'], predicted=sudan
question=['beijing' 'china' 'kingston' 'jamaica'], predicted=jamaica
question=['beirut' 'lebanon' 'berlin' 'germany'], predicted=germany
question=['beirut' 'lebanon' 'bratislava' 'slovakia'], predicted=slovakia
question=['beirut' 'lebanon' 'brussels' 'belgium'], predicted=belgium
question=['beirut' 'lebanon' 'budapest' 'hungary'], predicted=hungary
question=['beirut' 'lebanon' 'cairo' 'egypt'], predicted=egypt
question=['beirut' 'lebanon' 'canberra' 'australia'], predicted=australia
question=['beirut' 'lebanon' 'caracas' 'venezuela'], predicted=venezuela
question=['beirut' 'lebanon' 'copenhagen' 'denmark'], predicted=denmark
question=['beirut' 'lebanon' 'damascus' 'syria'], predicted=syria
question=['beirut' 'lebanon' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['beirut' 'lebanon' 'dublin' 'ireland'], predicted=ireland
question=['beirut' 'lebanon' 'havana' 'cuba'], predicted=cuba
question=['beirut' 'lebanon' 'helsinki' 'finland'], predicted=finland
question=['beirut' 'lebanon' 'jakarta' 'indonesia'], predicted=indonesia
question=['beirut' 'lebanon' 'kabul' 'afghanistan'], predicted=afghanistan
question=['beirut' 'lebanon' 'khartoum' 'sudan'], predicted=sudan
question=['beirut' 'lebanon' 'kiev' 'ukraine'], predicted=ukraine
question=['beirut' 'lebanon' 'kingston' 'jamaica'], predicted=jamaica
question=['belgrade' 'serbia' 'berlin' 'germany'], predicted=germany
question=['belgrade' 'serbia' 'bratislava' 'slovakia'], predicted=slovakia
question=['belgrade' 'serbia' 'brussels' 'belgium'], predicted=belgium
question=['belgrade' 'serbia' 'budapest' 'hungary'], predicted=hungary
question=['belgrade' 'serbia' 'cairo' 'egypt'], predicted=egypt
question=['belgrade' 'serbia' 'caracas' 'venezuela'], predicted=venezuela
question=['belgrade' 'serbia' 'copenhagen' 'denmark'], predicted=denmark
question=['belgrade' 'serbia' 'dakar' 'senegal'], predicted=senegal
question=['belgrade' 'serbia' 'damascus' 'syria'], predicted=syria
question=['belgrade' 'serbia' 'dublin' 'ireland'], predicted=ireland
question=['belgrade' 'serbia' 'helsinki' 'finland'], predicted=finland
question=['belgrade' 'serbia' 'jakarta' 'indonesia'], predicted=indonesia
question=['belgrade' 'serbia' 'kabul' 'afghanistan'], predicted=afghanistan
question=['belgrade' 'serbia' 'khartoum' 'sudan'], predicted=sudan
question=['belgrade' 'serbia' 'kiev' 'ukraine'], predicted=ukraine
question=['belgrade' 'serbia' 'kingston' 'jamaica'], predicted=jamaica
question=['berlin' 'germany' 'bern' 'switzerland'], predicted=switzerland
question=['berlin' 'germany' 'bratislava' 'slovakia'], predicted=slovakia
question=['berlin' 'germany' 'brussels' 'belgium'], predicted=belgium
question=['berlin' 'germany' 'bucharest' 'romania'], predicted=romania
question=['berlin' 'germany' 'budapest' 'hungary'], predicted=hungary
question=['berlin' 'germany' 'cairo' 'egypt'], predicted=egypt
question=['berlin' 'germany' 'canberra' 'australia'], predicted=australia
question=['berlin' 'germany' 'copenhagen' 'denmark'], predicted=denmark
question=['berlin' 'germany' 'damascus' 'syria'], predicted=syria
question=['berlin' 'germany' 'dhaka' 'bangladesh'], predicted=bangladesh
question=['berlin' 'germany' 'dublin' 'ireland'], predicted=ireland
question=['berlin' 'germany' 'hanoi' 'vietnam'], predicted=vietnam
question=['berlin' 'germany' 'havana' 'cuba'], predicted=cuba
